_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_zipcode,ltable_cuisine,rtable_name,rtable_address,rtable_zipcode,rtable_cuisine
861283,4005,8270,kennedy fried chicken,"2057 adam clayton powell blvd, ,",10027,fast food chicken wings,asian fusion,2071 adam clayton powell jr blvd,10027,asian
861298,4005,15534,kennedy fried chicken,"2057 adam clayton powell blvd, ,",10027,fast food chicken wings,delhi masala restaurant,2077 adam clayton powell jr blvd,10027,indian
861393,4005,23660,kennedy fried chicken,"2057 adam clayton powell blvd, ,",10027,fast food chicken wings,b & k french cuisine,2167 adam clayton powell jr blvd,10027,french
865502,4057,22817,little frog bistro & bar,"322 e 86th st,",10028,french bars desserts,little frog francois latapie,322 e 86th st,10028,french
866185,4062,8578,bondurants,"303 e 85th st, ,",10028,american (new) beer bar,bondurants,303 e 85th st,10028,american
867680,4077,13852,kobeyaki,"215 e 86th st, ,",10028,sushi bars japanese asian fusion,kobeyaki,215 e 86th st,10028,japanese
875250,4134,9205,jacques,"204 e 85th st, ste 206,",10028,french,jaques brasserie,204 e 85th st,10028,french
881938,4185,4575,gracie's on 2nd diner,"300 e 86th st, ,",10028,diners,gracie's on 2nd,300 e 86th st,10028,american
882041,4185,23722,gracie's on 2nd diner,"300 e 86th st, ,",10028,diners,tasti d lite,300 e 86th st,10028,other
885129,4216,11298,amai z,"435 e 86th  st, ,",10028,mediterranean salad,munchery,435 e 86th st,10028,american
891942,4271,22610,nocciola ristorante,"237 e 116th st, ,",10029,italian,nocciola ristorante,237 e 116th st,10029,italian
894991,4296,19282,neapolitan express,"232 e 111th st, ,",10029,pizza italian,neapolitan express,232 e 111th st,10029,pizza
895464,4301,3122,nocciola pizzeria e trattoria,"123 e 110th st, ,",10029,pizza italian,nocciola pizzeria,123 e 110th st,10029,pizza
904242,4373,7900,asha indian food,"151 e 103rd st, ,",10029,indian,texas chicken & burgers,151 e 103rd st,10029,chicken
909034,4418,16190,burger king,"154 e 116th st, ,",10029,burgers,burger king,154 e 116th st,10029,hamburgers
909535,4422,639,fried chicken shack,"165 e 106th st, ,",10029,chicken wings,mamagyro,165 e 106th st,10029,greek
912339,4449,13381,monster savings,"314 e 106th st, ,",10029,grocery food delivery services,monster savings,314 e 106th st,10029,delicatessen
915187,4477,16562,hyacinth's haven,"2374 adam clayton powell jr blvd, ,",10030,bars american (new) cafes,africa kine,2267 adam clayton powell jr blvd,10030,african
915190,4477,19108,hyacinth's haven,"2374 adam clayton powell jr blvd, ,",10030,bars american (new) cafes,hyacinth haven harlem,2374 adam clayton powell jr blvd,10030,american
915193,4477,10397,hyacinth's haven,"2374 adam clayton powell jr blvd, ,",10030,bars american (new) cafes,fu on kitchen,2419 adam clayton powell jr boulevard,10030,chinese
915194,4477,21166,hyacinth's haven,"2374 adam clayton powell jr blvd, ,",10030,bars american (new) cafes,rusty's flavor,2261 adam clayton powell jr blvd,10030,caribbean
915198,4477,9904,hyacinth's haven,"2374 adam clayton powell jr blvd, ,",10030,bars american (new) cafes,ihop,22902298 adam clayton powell jr boulevard,10030,pancakes/waffles
915203,4477,9565,hyacinth's haven,"2374 adam clayton powell jr blvd, ,",10030,bars american (new) cafes,polanco restaurant bbq,2421 adam clayton powell jr b,10030,"latin (cuban, dominican, puerto rican, south & central american)"
915204,4477,22782,hyacinth's haven,"2374 adam clayton powell jr blvd, ,",10030,bars american (new) cafes,cea-lo cafe,2496 adam clayton powell jr blvd,10030,seafood
915205,4477,22908,hyacinth's haven,"2374 adam clayton powell jr blvd, ,",10030,bars american (new) cafes,johnny kaks,2453 adam clayton powell jr blvd,10030,caribbean
915220,4478,16562,yatenga french bistro & bar,"2269 adam clayton powell jr blvd, ,",10030,french wine bars beer bar,africa kine,2267 adam clayton powell jr blvd,10030,african
915223,4478,19108,yatenga french bistro & bar,"2269 adam clayton powell jr blvd, ,",10030,french wine bars beer bar,hyacinth haven harlem,2374 adam clayton powell jr blvd,10030,american
915226,4478,10397,yatenga french bistro & bar,"2269 adam clayton powell jr blvd, ,",10030,french wine bars beer bar,fu on kitchen,2419 adam clayton powell jr boulevard,10030,chinese
915227,4478,21166,yatenga french bistro & bar,"2269 adam clayton powell jr blvd, ,",10030,french wine bars beer bar,rusty's flavor,2261 adam clayton powell jr blvd,10030,caribbean
915231,4478,9904,yatenga french bistro & bar,"2269 adam clayton powell jr blvd, ,",10030,french wine bars beer bar,ihop,22902298 adam clayton powell jr boulevard,10030,pancakes/waffles
915236,4478,9565,yatenga french bistro & bar,"2269 adam clayton powell jr blvd, ,",10030,french wine bars beer bar,polanco restaurant bbq,2421 adam clayton powell jr b,10030,"latin (cuban, dominican, puerto rican, south & central american)"
915237,4478,22782,yatenga french bistro & bar,"2269 adam clayton powell jr blvd, ,",10030,french wine bars beer bar,cea-lo cafe,2496 adam clayton powell jr blvd,10030,seafood
915238,4478,22908,yatenga french bistro & bar,"2269 adam clayton powell jr blvd, ,",10030,french wine bars beer bar,johnny kaks,2453 adam clayton powell jr blvd,10030,caribbean
915319,4481,16562,belle harlem,"2363 adam clayton powell blvd,",10030,american (new) southern,africa kine,2267 adam clayton powell jr blvd,10030,african
915322,4481,19108,belle harlem,"2363 adam clayton powell blvd,",10030,american (new) southern,hyacinth haven harlem,2374 adam clayton powell jr blvd,10030,american
915326,4481,21166,belle harlem,"2363 adam clayton powell blvd,",10030,american (new) southern,rusty's flavor,2261 adam clayton powell jr blvd,10030,caribbean
915336,4481,22782,belle harlem,"2363 adam clayton powell blvd,",10030,american (new) southern,cea-lo cafe,2496 adam clayton powell jr blvd,10030,seafood
915337,4481,22908,belle harlem,"2363 adam clayton powell blvd,",10030,american (new) southern,johnny kaks,2453 adam clayton powell jr blvd,10030,caribbean
915408,4483,18177,cari wine bar & restaurant,"2647 frederick douglass blvd,",10030,spanish caribbean burgers,cari wine bar & restaurant,2647 frederick douglass blvd,10030,"latin (cuban, dominican, puerto rican, south & central american)"
915451,4485,16562,little ochie jamaican cuisine,"2492 adam clayton powell jr blvd, ,",10030,caribbean,africa kine,2267 adam clayton powell jr blvd,10030,african
915454,4485,19108,little ochie jamaican cuisine,"2492 adam clayton powell jr blvd, ,",10030,caribbean,hyacinth haven harlem,2374 adam clayton powell jr blvd,10030,american
915457,4485,10397,little ochie jamaican cuisine,"2492 adam clayton powell jr blvd, ,",10030,caribbean,fu on kitchen,2419 adam clayton powell jr boulevard,10030,chinese
915458,4485,21166,little ochie jamaican cuisine,"2492 adam clayton powell jr blvd, ,",10030,caribbean,rusty's flavor,2261 adam clayton powell jr blvd,10030,caribbean
915462,4485,9904,little ochie jamaican cuisine,"2492 adam clayton powell jr blvd, ,",10030,caribbean,ihop,22902298 adam clayton powell jr boulevard,10030,pancakes/waffles
915467,4485,9565,little ochie jamaican cuisine,"2492 adam clayton powell jr blvd, ,",10030,caribbean,polanco restaurant bbq,2421 adam clayton powell jr b,10030,"latin (cuban, dominican, puerto rican, south & central american)"
915468,4485,22782,little ochie jamaican cuisine,"2492 adam clayton powell jr blvd, ,",10030,caribbean,cea-lo cafe,2496 adam clayton powell jr blvd,10030,seafood
915469,4485,22908,little ochie jamaican cuisine,"2492 adam clayton powell jr blvd, ,",10030,caribbean,johnny kaks,2453 adam clayton powell jr blvd,10030,caribbean
915484,4486,16562,ponty bistro,"2375 adam clayton powell jr blvd, ,",10030,french senegalese,africa kine,2267 adam clayton powell jr blvd,10030,african
915487,4486,19108,ponty bistro,"2375 adam clayton powell jr blvd, ,",10030,french senegalese,hyacinth haven harlem,2374 adam clayton powell jr blvd,10030,american
915490,4486,10397,ponty bistro,"2375 adam clayton powell jr blvd, ,",10030,french senegalese,fu on kitchen,2419 adam clayton powell jr boulevard,10030,chinese
