_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_zipcode,ltable_phone,ltable_cuisine,rtable_name,rtable_address,rtable_zipcode,rtable_phone,rtable_cuisine
280128,1348,22998,zia maria,"318 w 23rd st, ,",10011,2125249200.0,italian pizza,zia maria,318 w 23rd st,10011,2125249200,pizza/italian
283343,1359,11724,auntie guan's kitchen 108,"108 w 14th st, ,",10011,2122068388.0,chinese asian fusion,auntie guan's kitchen 108,108 w 14th st,10011,2122068388,chinese
284520,1362,5054,basta pasta,"37 w 17th st, ,",10011,2123660888.0,italian,yakiniku futago,37 w 17th st,10011,2126200225,japanese
285044,1364,20077,il bambino,"48 w 8th st, ,",10011,2122282466.0,italian sandwiches wine bars,il bambino,48 w 8th st,10011,9174007134,american
287747,1376,7483,the gander,"15 w 18th st, ,",10011,2122299500.0,american (new),the gander bar room and restaurant,15 w 18th st,10011,2122299500,american
290079,1384,5054,yakiniku futago,"37 w 17th st, ,",10011,2126200225.0,japanese barbeque,yakiniku futago,37 w 17th st,10011,2126200225,japanese
290212,1385,7250,rasa,"25 w 8th st,",10011,2122541888.0,malaysian sushi bars halal,rasa,25 w 8th st,10011,2122539888,asian
299281,1417,1154,asuka sushi,"300 w 23rd st, ,",10011,2127270888.0,sushi bars japanese thai,asuka sushi,300 w 23rd st,10011,2127270888,japanese
300826,1422,3610,great burrito,"100 w 23rd st, ,",10011,2122430022.0,pizza mexican,great burrito,100 w 23rd st,10011,2122430022,mexican
305580,1440,22418,lena,"1 w 8th st, ,",10011,2129792315.0,coffee & tea sandwiches,lena,1 w 8th st,10011,9178869938,bakery
305744,1440,2540,lena,"1 w 8th st, ,",10011,2129792315.0,coffee & tea sandwiches,la panineria,1 w 8th st,10011,9172830197,italian
305927,1442,11540,el quijote,"226 w 23rd st, ,",10011,2129291855.0,spanish basque,el quijote,226 w 23rd st,10011,2129291855,spanish
307283,1446,17742,bodega negra,"dream downtown, 355 w 16th st,",10011,2122292336.0,mexican,megu,355 w 16th st,10011,2128859400,japanese
307566,1447,18414,ancolie,"58 w 8th st,",10011,6465245929.0,salad cafes desserts,ancolie,58 w 8th st,10011,6465245929,salads
311534,1464,17742,megu,355 w 16th st,10011,2128859400.0,japanese,megu,355 w 16th st,10011,2128859400,japanese
323238,1507,22418,la panineria,"1 w 8th st,",10011,9173883257.0,italian sandwiches,lena,1 w 8th st,10011,9178869938,bakery
323402,1507,2540,la panineria,"1 w 8th st,",10011,9173883257.0,italian sandwiches,la panineria,1 w 8th st,10011,9172830197,italian
328362,1526,21357,vic's,"31 great jones st, ,",10012,2122535700.0,bars american (new) italian,vic's,31 great jones st,10012,2122535700,american
331485,1539,21336,the folly,"92 w houston st, ,",10012,6467264740.0,seafood gastropubs,the folly,92 w houston st,10012,6467264740,american
339822,1573,10673,great jones cafe,"54 great jones st, ,",10012,2126749304.0,cajun/creole,great jones cafe,54 great jones st,10012,2126744728,american
359870,1645,23706,pokee,"121 w 3rd st,",10012,2123871888.0,poke,dumplinggo,121 w 3rd st,10012,2123878088,chinese/japanese
369315,1679,12668,sushi zo,"88 w 3rd st, ,",10012,6464054826.0,japanese sushi bars,sushi zo,88 w 3rd st,10012,3109754871,japanese
369907,1681,12668,swish cafe & shabu shabu,"88 w 3rd st,",10012,2127778808.0,japanese,sushi zo,88 w 3rd st,10012,3109754871,japanese
413198,1826,4219,souk & sandwich,"117 ave of the america's,",10013,2126253982.0,lebanese sandwiches fast food,souk & sandwich,117 avenue of the americas,10013,2127755665,american
