name,address,zipcode,cuisine
t.j. asian bistro,5019 skillman avenue,11377,japanese
weather up,159 duane street,10013,american
mulberry project,149 mulberry street,10013,american
nobi sushi,437 3 avenue,10016,japanese
vic's original pizza,288 kings hwy,11223,italian
china kitchen,749 astor avenue,10467,chinese
atomic wings,311 broadway,10007,chicken
papa john's,10303 101st ave,11416,pizza
raffles,511 lexington avenue,10017,american
mccann's pub,3615 ditmars boulevard,11105,irish
pauls da burger joint,131 2 avenue,10003,hamburgers
sushi samba #7,87 7 avenue south,10014,japanese
"dunkin' donuts, baskin robbins",8301 flatlands avenue,11236,donuts
true taste restaurant,553 throop avenue,11216,chinese
kennedy fried chicken,1051 ogden avenue,10452,chicken
benson eating station,2435 86th st,11214,chinese
pier 76,76 bay street,10301,italian
eva's restaurant,11 west    8 street,10011,american
maggie mays,21422 41 avenue,11361,american
la lampara cafe,54-18 flushing ave,11378,american
m. wells dinette (moma ps1),4601 21 street,11101,american
flor de mayo restaurant,2651 broadway,10025,chinese/cuban
el canelazo bar restaurant,8004 roosevelt avenue,11372,"latin (cuban, dominican, puerto rican, south & central american)"
world yacht - st. charles,0 w 41st st,10019,american
pelham bay diner,1920 east gun hill road,10469,american
kestane kebab,110 nassau avenue,11222,turkish
pate's jeanty,21909 hempstead avenue,11429,bakery
billy's sport bar restaurant & lounge,856 river avenue,10451,american
pig and khao,68 clinton street,10002,thai
sheraton new york hotel & towers,811 7 avenue,10019,american
fisherman's cove,1122 eastern parkway,11213,caribbean
landmark coffee shop,158 grand street,10013,american
foo on chinese restaurant,18304 hillside avenue,11432,chinese
lasso,192 mott street,10012,pizza
bluestone lane,2 e 90th st,10128,cafã©/coffee/tea
dallas bbq,2146 nostrand ave,11210,barbecue
delicias bakery & restaurant,10307 roosevelt avenue,11368,spanish
african last stop,1300 e 222nd st,10469,african
ralph's ices,13225 14 avenue,11356,american
zum stammtisch,6946 myrtle avenue,11385,german
jack's sliders and sushi,171 3 avenue,10003,asian
fish n ting restaurant,4063 boston road,10466,caribbean
five tacos,119 saint marks place,10009,mexican
north square,103 waverly place,10011,american
taqueria el fogon,1050 flushing avenue,11237,mexican
kristy's restaurant,796 courtlandt avenue,10451,chinese
aoa bar & grill,6 york street,10013,american
hi tea,5002 5th ave,11220,cafã©/coffee/tea
mama leti's,4007 junction boulevard,11368,spanish
il piccolo bufalo,141 mulberry street,10013,italian
sotto 13,140 west   13 street,10011,italian
ilmulino,37 east   60 street,10022,italian
lucky star restaurant,13 marcus garvey blvd,11206,caribbean
caribbean cuisine and roti,8915 165th st,11432,caribbean
lorenas fruit,5020 108 street,11368,"juice, smoothies, fruit salads"
quetzalito restaurant,964 mcdonald ave,11230,"latin (cuban, dominican, puerto rican, south & central american)"
better being,537 9 avenue,10018,american
longevousjoy,6610 bay parkway,11204,japanese
dunkin' donuts,880 garrison avenue,10474,donuts
croton reservoir tavern,108110 west   40 street,10018,american
ten full,3949 48 avenue,11104,chinese
el rinconcito del sabor dominicano,254 e 204th street,10458,"latin (cuban, dominican, puerto rican, south & central american)"
her name is han,17 e 31st st,10016,korean
maynila oriental food market,3555 victory boulevard,10314,filipino
china star,145 1st avenue,10003,chinese
dunkin' donuts,5109 broadway,11377,donuts
