name,address,zipcode,cuisine
Libation,"137 Ludlow St, ,",10002,American (New) Dance Clubs
Cafe Katja,"79 Orchard St, ,",10002,Pubs German Austrian
Mazeish Grill,"137 Rivington St, ,",10002,Mediterranean Middle Eastern
Shu Jiao Fu Zhou Cuisine Restaurant,118 Eldridge St,10002,Chinese Noodles
Kottu House,"250 Broome St, ,",10002,Sri Lankan
Red Compass,"154 Orchard St, ,",10002,Mediterranean Modern European Wine Bars
99 Favor Taste,"285 Grand St, ,",10002,Hot Pot Barbeque
Cheese Grille,"188 Allen St, ,",10002,American (Traditional) Comfort Food Sandwiches
Wildair,"142 Orchard St, ,",10002,American (New)
Kiki's,"130 Division St, ,",10002,Greek Salad
Taste of Northern China,"88 E Broadway, Suite 106,",10002,Chinese
Chloe81 Blue,"81 Ludlow St,",10002,Seafood Jazz & Blues American (Traditional)
Clancey,"79 Clinton St,",10002,American (New) Beer Bar Breakfast & Brunch
Big Hing Wong,"300 Grand St, ,",10002,Chinese Seafood Soup
Mei Yu Spring,"29 Catherine St, ,",10002,Chinese
Zest,"249 Broome St, ,",10002,Sushi Bars Japanese Thai
Sammy's Roumanian Steakhouse,"157 Chrystie St, ,",10002,Steakhouses
Vandal,"199 Bowery, ,",10002,Tapas Bars Lounges
Shopsin's,"Essex St Market, 120 Essex St,",10002,Diners Breakfast & Brunch
Black Crescent,"76 Clinton St, ,",10002,Bars Seafood
Bar Goto,"245 Eldridge St, ,",10002,Cocktail Bars Japanese
El Luchador Taqueria,"132 Ludlow St, ,",10002,Mexican
Mission Chinese,"171 E Broadway, ,",10002,Chinese Desserts Cocktail Bars
Patacon Pisao,"139 Essex St, ,",10002,Venezuelan Sandwiches
Fung Tu,"22 Orchard St, ,",10002,Asian Fusion Chinese
Louie and Chan,"303 Broome St, ,",10002,Italian Lounges Cocktail Bars
Hill and Dale,"115 Allen St, ,",10002,Bars American (New)
Round K,"99 Allen St,",10002,Coffee & Tea Breakfast & Brunch Bagels
Yaya Tea Garden,"51 Chrystie St, ,",10002,Coffee & Tea Japanese Bubble Tea
Super Taste,"26 Eldridge St,",10002,Noodles Taiwanese
The Ten Bells,"247 Broome St, ,",10002,Wine Bars Tapas Bars
Azasu,"49 Clinton St, ,",10002,Japanese Sandwiches Cocktail Bars
Spicy Village,"68 Forsyth St, Ste B,",10002,Chinese
Spreadhouse Cafe,"116 Suffolk St, ,",10002,Coffee & Tea Cafes Wine Bars
Forgtmenot,"138 Division St, ,",10002,Bars American (New)
King's Kitchen,"92 E Broadway, ,",10002,Chinese
Shui Mei Cafe,"67 E Broadway, ,",10002,Cafes Chinese
Wolfnights,"99 Rivington St,",10002,Sandwiches
La Gamelle,"241 Bowery, ,",10002,French
Bacaro,"136 Division St, ,",10002,Italian Bars
Tre,"173 Ludlow St, ,",10002,Italian
Lucky Plaza Restaurant,"81 Chrystie St, ,",10002,Chinese
Ni Japanese Delicacies,"120 Essex St, ,",10002,Japanese Delis
Charrua,"131 Essex St,",10002,Latin American
The John Lamb,"120 Allen St, 119 Orchard St,",10002,Cocktail Bars American (New) Tapas/Small Plates
