name,address,zipcode,cuisine,violation_code,critical_flag,grade
mitoushi japanese fusion,1712 sheepshead bay rd,11235,japanese,06E,Critical,A
ho wok,692 arthur kill road,10308,chinese,10F,Not Critical,A
chen xin lung chinese restaurant,3828b dyre ave,10466,chinese,10B,Not Critical,A
maz mezcal,316 east   86 street,10028,mexican,02G,Critical,A
the meatball shop,64 greenwich avenue,10011,american,02B,Critical,A
brooklyn mac,173 montrose avenue,11206,american,10B,Not Critical,A
nanoosh,173 madison avenue,10016,mediterranean,06C,Critical,A
tortas don pacos,2131 3 avenue,10035,mexican,06D,Critical,A
ponty bistro,144 w 139th st,10030,french,04L,Critical,A
samuels top ranking fish shop,3315 church avenue,11203,caribbean,10F,Not Critical,A
kailash parbat,99 lexington ave,10016,indian,02G,Critical,A
two brothers pizza,3039 buhre ave,10461,pizza,10B,Not Critical,A
iggy's pizzeria,173 1 avenue,10003,pizza,06C,Critical,A
subway,2486 coney island ave,11223,sandwiches,10F,Not Critical,A
shillelagh tavern,4722 30 avenue,11103,american,10F,Not Critical,A
caracas beach cafe,10601 shore front pkwy,11693,american,06D,Critical,A
pret a manger,1200 avenue of the americas,10036,sandwiches,10F,Not Critical,A
chian federation,4401 broadway,11103,greek,04L,Critical,A
homemade,293 van brunt street,11231,american,06E,Critical,A
noorman's kil,609 grand street,11211,american,04M,Critical,A
del frisco's steakhouse,1221 avenue of the americas,10020,steak,09B,Not Critical,A
balvanera,152 stanton st,10002,spanish,06C,Critical,A
hugo and sons,367 7th ave,11215,italian,09B,Not Critical,A
pio pio to go,8421 northern boulevard,11372,"latin (cuban, dominican, puerto rican, south & central american)",02B,Critical,B
authentic szechuan,384 5th ave,11215,chinese,04L,Critical,B
kennedy fried chicken,1774 lexington avenue,10029,chicken,02G,Critical,A
inatesso pizza bar casano,28 west street,10004,pizza/italian,02G,Critical,A
potbelly sandwich works,41 west   14 street,10011,sandwiches/salads/mixed buffet,06D,Critical,A
oasis williamsburg,161 north 7 street,11211,middle eastern,04A,Critical,A
dunkin' donuts,17725 rockaway boulevard,11434,café/coffee/tea,10F,Not Critical,A
starbucks,110 pearl street,10005,café/coffee/tea,04H,Critical,A
mike's place,4677 hylan boulevard,10312,american,06D,Critical,A
empire express,3308 queens boulevard,11101,chinese,10B,Not Critical,A
heavenly crumbs,355 franklin avenue,11238,american,08A,Not Critical,A
dunkin' donuts,1445 richmond avenue,10314,donuts,08A,Not Critical,A
food bo garden restaurant,934c e 163rd st,10459,chinese,10F,Not Critical,A
luen hop,469 irving ave,11237,chinese,02B,Critical,B
cocotte,110 thompson street,10012,french,09C,Not Critical,A
starbucks,1280 lexington avenue,10028,café/coffee/tea,10F,Not Critical,A
china chalet,4326 amboy road,10312,chinese,02G,Critical,A
starbucks,134 montague street,11201,café/coffee/tea,05D,Critical,A
rong hua chinese restaurant,13119 jamaica avenue,11418,chinese,06C,Critical,B
cocina latina restaurant,650 westchester ave,10455,"latin (cuban, dominican, puerto rican, south & central american)",10B,Not Critical,A
chipotle mexican grill,2843 broadway,10025,mexican,10H,Not Critical,A
financier patisserie,245 park avenue,10017,american,10F,Not Critical,A
savoury indian cuisine,489 columbus ave,10024,indian,06E,Critical,A
soo jamaica,4143 white plains rd,10466,caribbean,02H,Critical,A
scala bakery,6951 grand avenue,11378,bakery,10F,Not Critical,A
prospect,773 fulton street,11217,american,08A,Not Critical,A
sea witch,703 5 avenue,11215,american,10F,Not Critical,A
franks pizza,8025 flatlands avenue,11236,pizza,02G,Critical,A
la dinastia,4059 broadway,10032,chinese/cuban,08A,Not Critical,A
new island garden,823 castleton ave,10310,chinese,10F,Not Critical,A
subway,1434 lexington avenue,10128,sandwiches,10F,Not Critical,A
thistlehill tavern,441 7 avenue,11215,american,10F,Not Critical,A
jackbar,143 havemeyer street,11211,american,10F,Not Critical,A
wheated,905 church ave.,11218,italian,10B,Not Critical,A
subway,7523 31st avenue,11370,sandwiches,10D,Not Critical,A
za zaborom,3701 mermaid avenue,11224,russian,10F,Not Critical,A
taste of taco/yummy china,6841 myrtle ave,11385,tex-mex,09B,Not Critical,A
frozen planet,6340 avenue n,11234,"ice cream, gelato, yogurt, ices",04H,Critical,A
elias corner for fish,2402 31 street,11102,seafood,10B,Not Critical,A
weng's garden,872 hancock street,11233,barbecue,06C,Critical,A
grand canyon diner,179 7th ave,11215,american,06D,Critical,A
deno's snack bar/famiglia,1025 boardwalk,11224,american,02B,Critical,A
despeja tu mente,8945 elmhurst ave,11373,other,04A,Critical,A
thee seven sister's,245 ralph avenue,11233,american,08A,Not Critical,A
cake mio bakery,4510 104 street,11368,bakery,06A,Critical,A
munch better,7019 austin st,11375,american,04A,Critical,A
richmond county country club - pool snack bar,135 flagg place,10304,american,10F,Not Critical,A
