name,address,zipcode,cuisine
hotel chantelle,"92 ludlow st, ,",10002,french bars
tiny's giant sandwich shop,"129 rivington st, ,",10002,sandwiches
congee village,"100 allen st, ,",10002,cantonese
wong wah bakery house,"83 canal st, ,",10002,bakeries chinese
an choi,"85 orchard st, ,",10002,vietnamese sandwiches
kong kee,"212 grand st, ,",10002,chinese
little canal,"26 canal st,",10002,coffee & tea cafes wine bars
el rey coffee and luncheonette,"100 stanton, ,",10002,coffee & tea american (new)
les crêpes & taqueria,"25a essex st, ,",10002,mexican
china north dumpling,"27 essex st, ste a,",10002,chinese
scarr's pizza,"22 orchard st, ,",10002,pizza
cheesesteak factory,"191 e houston st,",10002,sandwiches desserts
formosa cafe,34 eldridge st,10002,bubble tea chinese taiwanese
yonah schimmel's knish bakery,"137 e houston st, ,",10002,bakeries
pause cafe,"3 clinton st, ,",10002,moroccan cafes juice bars & smoothies
carol's bun,"139 e broadway, ,",10002,chinese
loho gourmet deli,"204 clinton st, ,",10002,delis
99 cents fresh slice pizza,"105 stanton st, ,",10002,pizza
petee's pie company,"61 delancey st, ,",10002,bakeries comfort food coffee & tea
cata restaurant,"245 bowery, ,",10002,tapas/small plates cocktail bars mediterranean
golden unicorn,"18 e broadway, ,",10002,dim sum cantonese
arancini bros,"120 essex st, ,",10002,italian
clinton square pizza,"201 clinton st, ,",10002,pizza
jes coffee,"47 market st, ,",10002,cafes
tu do restaurant corporation,"119 bowery, ,",10002,restaurants
black cat les,"172 rivington st, ,",10002,coffee & tea breakfast & brunch vegan
sons of essex,"133 essex st, ,",10002,american (new) bars breakfast & brunch
essex taqueria,"123 essex st, ,",10002,mexican
macondo east,"157 e houston st, ,",10002,latin american tapas bars
ying qian fuzhou restaurant,"68 forsyth street, ,",10002,chinese
peasant stock,"120 essex st, ,",10002,soup
cong ly restaurant,"124 hester st, ,",10002,vietnamese
casa mezcal,"86 orchard st, ,",10002,mexican
new wong rest,"103 e broadway, ,",10002,chinese
sticky rice,"85 orchard st, ,",10002,thai barbeque cocktail bars
rice noodle cart,"entrace of east broadway mta & wing shoon seafood restaurant, at e broadway and rutgers st,",10002,food stands noodles
hua xia,"49 division st, ,",10002,chinese
sushiya,"117 e houston st, ,",10002,sushi bars
bistroshopp,"124 ridge st, ,",10002,food stands burgers fast food
williamsburg pizza,"277 broome st, ,",10002,pizza
s wan cafe,85 eldridge st lower e,10002,cafes chinese
schiller's liquor bar,"131 rivington st,",10002,breakfast & brunch american (traditional) bars
iguazu cafe & grill,"26 jefferson st, ,",10002,latin american
hok zhou restaurant,"93 e broadway, ,",10002,chinese
khushboo indian restaurant,"6 clinton st, ,",10002,indian wine bars
creperie,"135 ludlow st, ,",10002,creperies
one more thai,"6 clinton st,",10002,thai
cafe petisco,"189 e broadway, ,",10002,breakfast & brunch coffee & tea sandwiches
the fat radish,"17 orchard st, ,",10002,british american (new)
ivan ramen,"25 clinton st, ,",10002,ramen breakfast & brunch vegetarian
la caverna,"122-124 rivington st, ,",10002,bars tapas/small plates
fuleen seafood restaurant,"11 division st, ,",10002,chinese seafood
nonna's les pizzeria,"105 clinton st, ,",10002,italian pizza sandwiches
mee cafe,"26 rutgers st, ,",10002,coffee & tea cafes
zafis luncheonette,"500 grand st, ,",10002,diners breakfast & brunch
rawsome treats,"212 e broadway, ,",10002,desserts live/raw food
happy express cafe,"6 allen st, ,",10002,cafes cantonese
birds & bubbles,"100b forsyth st,",10002,southern
puebla,"120 essex st, ,",10002,mexican
whole foods market,"95 e houston st, ,",10002,specialty food grocery coffee & tea
nam son vietnamese restaurant,"245 grand st, ,",10002,vietnamese
taco recipes,"23 essex st, ,",10002,tex-mex
kang kee,"124 hester st, ,",10002,chinese
loreley beer garden,"7 rivington st,",10002,german pubs beer gardens
essex,"120 essex st, ,",10002,bars american (new)
sauce,"78 rivington st, ,",10002,italian
hot mini cakes,"se corner of grand st & bowery, ,",10002,bakeries food stands
el castillo de jagua 2,"521 grand st, ,",10002,spanish dominican american (traditional)
grand street rice noodle cart,"bowery st & chrystie st, ,",10002,street vendors noodles
new ah ping snacketeria,"45 division street, ,",10002,chinese
galeria,"43 clinton st,",10002,brazilian juice bars & smoothies art galleries
hou yi hot pot,"92 hester st, ,",10002,hot pot
yi mei gourmet food,"51 division st, ,",10002,bakeries chinese
golden forest,"353 grand st, ,",10002,chinese
ak us group,"95 chrystie st, ,",10002,cantonese
saluggi's,"399 grand st,",10002,pizza italian sports bars
sheng wang,"27 eldridge st, ,",10002,chinese noodles
spitzer's corner,"101 rivington st, ,",10002,pubs
a-1 pizza shop,"505 grand st, ,",10002,pizza
m star cafe,"19 division st,",10002,chinese breakfast & brunch sandwiches
mr. taka ramen,"170 allen st, ,",10002,ramen
hana japanese cuisine,"111 rivington st, ,",10002,japanese
cheung wong kitchen,"38 allen st, ,",10002,chinese hong kong style cafe
la flaca,"384 grand st, ,",10002,mexican breakfast & brunch
upstate,"95 1st ave, ,",10003,seafood
tim ho wan,"85 4th ave,",10003,dim sum
thai villa,"5 e 19th st, g floor,",10003,thai
the pokéspot,"120 4th ave,",10003,poke hawaiian
il cantinori,"32 e 10th st, ,",10003,italian
love mamak,"174 2nd ave, ,",10003,thai malaysian vietnamese
ichabod's,"15 irving pl,",10003,american (new) breakfast & brunch
gramercy tavern,"42 e 20th st, ,",10003,american (new)
midwinter kitchen,"327 2nd ave,",10003,comfort food breakfast & brunch
taboonette,"30 e 13th st, ,",10003,mediterranean middle eastern american (new)
kotobuki manhattan,"56 3rd ave,",10003,japanese sushi bars seafood
ippudo east village,"65 4th ave, ,",10003,ramen
white oak tavern,"21 waverly pl, ,",10003,bars comfort food american (traditional)
benemon,"108 e 4th st,",10003,japanese
tsurutontan udon noodle brasserie,"21 e 16th st, ,",10003,japanese noodles soup
the boil,"17 waverly pl, ,",10003,cajun/creole seafood
raku,"342 e 6th st, ,",10003,japanese noodles
ayios greek rotisserie,"2 saint marks pl,",10003,greek
barn joo,"35 union square w,",10003,korean gastropubs asian fusion
abc kitchen,"35 e 18th st, ,",10003,american (new) french
momofuku ko,"8 extra pl, ,",10003,american (new)
the cellar,"900 broadway, ,",10003,wine bars american (new) american (traditional)
irvington,"the w hotel, 201 park ave s,",10003,american (new)
momofuku ssam bar,"207 2nd ave,",10003,american (new)
the eddy,"342 e 6th st, ,",10003,american (new)
cava,"143 4th ave,",10003,mediterranean
follia nyc,"179 3rd ave,",10003,wine bars italian pizza
gramercy farmer & the fish,"245 park ave s,",10003,american (traditional) seafood
milon,"93 1st ave, ,",10003,indian bangladeshi
the bao,"13 st marks pl, ,",10003,chinese
soba-ya,"229 e 9th st, ,",10003,japanese noodles
gotham bar and grill,"12 e 12th st, ,",10003,american (new) bars
biang!,"157 2nd ave, ,",10003,chinese noodles
la contrada,"67 2nd ave cross 4th st,",10003,italian lounges american (traditional)
blue water grill,"31 union sq w, ,",10003,seafood sushi bars
